,Neural Network,KNN,Random Forest,SVM
0,0.9449999928474426,0.945,0.95,0.94
1,0.9200000166893005,0.93,0.94,0.925
2,0.949999988079071,0.94,0.96,0.955
3,0.9399999976158142,0.945,0.96,0.95
4,0.949999988079071,0.945,0.955,0.945
5,0.9599999785423279,0.935,0.95,0.92
6,0.9449999928474426,0.945,0.97,0.945
7,0.9300000071525574,0.94,0.96,0.925
8,0.9599999785423279,0.95,0.97,0.965
9,0.9449999928474426,0.95,0.96,0.935
10,0.9449999928474426,0.96,0.95,0.955
11,0.9399999976158142,0.93,0.93,0.915
12,0.9549999833106995,0.935,0.95,0.945
13,0.9399999976158142,0.915,0.95,0.915
14,0.9599999785423279,0.945,0.975,0.955
15,0.9399999976158142,0.95,0.95,0.94
16,0.9399999976158142,0.925,0.94,0.925
17,0.9200000166893005,0.915,0.94,0.91
18,0.949999988079071,0.96,0.955,0.955
19,0.9750000238418579,0.965,0.98,0.965
20,0.9700000286102295,0.97,0.965,0.98
21,0.9300000071525574,0.94,0.96,0.925
22,0.9700000286102295,0.95,0.96,0.95
23,0.9350000023841858,0.95,0.925,0.935
24,0.9449999928474426,0.935,0.94,0.93
25,0.9549999833106995,0.94,0.93,0.94
26,0.9350000023841858,0.95,0.96,0.935
27,0.925000011920929,0.94,0.95,0.95
28,0.949999988079071,0.93,0.95,0.92
29,0.9399999976158142,0.93,0.945,0.915
30,0.9599999785423279,0.94,0.955,0.93
31,0.9200000166893005,0.93,0.95,0.935
32,0.9449999928474426,0.95,0.97,0.96
33,0.9200000166893005,0.945,0.96,0.93
34,0.9350000023841858,0.93,0.94,0.93
35,0.9449999928474426,0.94,0.945,0.935
36,0.9549999833106995,0.95,0.965,0.965
37,0.925000011920929,0.93,0.935,0.935
38,0.9399999976158142,0.95,0.955,0.93
39,0.9350000023841858,0.93,0.94,0.93
40,0.9399999976158142,0.945,0.95,0.955
41,0.9549999833106995,0.94,0.95,0.925
42,0.949999988079071,0.925,0.955,0.93
43,0.9399999976158142,0.935,0.96,0.935
44,0.9549999833106995,0.95,0.95,0.94
45,0.9599999785423279,0.955,0.955,0.945
46,0.949999988079071,0.95,0.94,0.945
47,0.9549999833106995,0.945,0.965,0.955
48,0.949999988079071,0.94,0.955,0.94
49,0.9449999928474426,0.95,0.955,0.955
50,0.9700000286102295,0.955,0.975,0.94
